ID,대륙,여행지,기후,수질(경수/연수),별점,성별,나이,직업,피부타입,체감온도,습도,추천 화장품,추천 메이크업,추천 스킨케어,리뷰 내용
hyejin88,아프리카,가나,열대기후,연수,★★★★★,여성,40,일러스트레이터,지성,36°C (체감),87%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
daon88,아프리카,가나,열대기후,연수,★★★★★,남성,47,회사원,지성,31°C (체감),90%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
gina_92,아프리카,가나,열대기후,연수,★★★★★,여성,54,교사,지성,33°C (체감),77%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
dewyskin_note,아프리카,가나,열대기후,연수,★★★☆☆,남성,21,요리사,지성,35°C (체감),80%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
humidmood99,아프리카,가나,열대기후,연수,★★★★★,여성,28,자영업,지성,30°C (체감),83%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
iseul_zone,아프리카,가나,열대기후,연수,★★★★☆,남성,35,여행가이드,지성,32°C (체감),86%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
hyejin_diary,아프리카,가나,열대기후,연수,★★★★☆,여성,42,작가,지성,34°C (체감),89%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
chorong_world,아프리카,가나,열대기후,연수,★★★☆☆,남성,49,연구원,지성,36°C (체감),76%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
jiyeon_92,아프리카,가나,열대기후,연수,★★★☆☆,여성,56,바리스타,지성,31°C (체감),79%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
jieun_official,아프리카,탄자니아,열대기후,연수,★★★★☆,여성,32,승무원,건성,31°C (체감),83%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
jina_note,아프리카,탄자니아,열대기후,연수,★★★★★,남성,39,마케터,건성,33°C (체감),86%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
luna23,아프리카,탄자니아,열대기후,연수,★★★☆☆,여성,46,공무원,건성,35°C (체감),89%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
sunkissed_log,아프리카,탄자니아,열대기후,연수,★★★★★,남성,53,회계사,건성,30°C (체감),76%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
hydrated01,아프리카,탄자니아,열대기후,연수,★★☆☆☆,여성,20,수의사,건성,32°C (체감),79%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
oilyskin_vibe,아프리카,탄자니아,열대기후,연수,★★★★★,남성,27,영업직,건성,34°C (체감),82%,"매트 선크림, 블로팅 페이퍼, 쿨링 토너",촉촉한 쿠션으로 습기에도 밀리지 않게 가볍게 표현하는 것을 추천합니다.,실내외 온습도 차이가 크므로 미스트로 수시로 수분을 보충해 주세요.,에어컨 실내와 습한 실외를 오가다 보니 피부 컨디션이 계속 오락가락했어요.
wanderlust99,아프리카,탄자니아,열대기후,연수,★★★★★,여성,34,대학생,건성,36°C (체감),85%,"저자극 선크림, 진정 스프레이, 수분 시트마스크",색조보다는 톤업 선크림 위주로 산뜻하게 마무리하는 것을 권장합니다.,피지 분비가 많아지는 시기이므로 클레이 마스크로 주 1~2회 관리해 주는 것을 추천합니다.,습도가 정말 높아서 화장이 금방 무너졌어요. 저자극 선크림 없이는 하루도 버티기 힘들었어요.
sunkissed_92,아프리카,탄자니아,열대기후,연수,★★★★★,남성,41,간호사,건성,31°C (체감),88%,"가벼운 수분 선크림, 쿠션, 미스트",워터프루프 아이라이너와 마스카라로 땀과 습기에 대비하는 것이 좋습니다.,저녁에 이중세안을 꼭 하고 산뜻한 젤 타입 제품으로 유수분 밸런스를 유지하세요.,생각보다 더 더워서 땀 때문에 끈적임이 심했는데 가벼운 수분 선크림이 정말 큰 도움이 됐습니다.
haeun_daily,아프리카,탄자니아,열대기후,연수,★★★★☆,여성,48,사진작가,건성,33°C (체감),75%,"워터프루프 아이라이너, 피지 흡수 패드, 쿨링 젤",얇은 베이스에 워터프루프 제품 위주로 메이크업하고 픽싱 스프레이로 마무리하는 것을 추천합니다.,외출 중 블로팅 페이퍼로 피지를 자주 관리하고 쿨링 토너로 진정시켜 주세요.,야외 일정이 많았는데 자외선이 강해서 워터프루프 아이라이너을 자주 덧발라야 했어요.
rina_story,아프리카,탄자니아,열대기후,연수,★★★☆☆,남성,55,엔지니어,건성,35°C (체감),78%,"워터프루프 선크림, 피지 컨트롤 파우더, 픽싱 미스트",매트한 베이스로 유분과 땀을 컨트롤하며 색조는 최소화하는 것이 좋습니다.,자외선 노출 후에는 진정 스프레이와 수분 시트마스크로 피부를 달래주는 것이 좋습니다.,고온다습한 날씨 탓에 피부 트러블이 갑자기 올라와서 당황했어요.
hayoung_zone,아시아,아프가니스탄,건조기후,경수,★★☆☆☆,남성,35,대학생,민감성,38°C (체감),26%,"수분 크림, 선쿠션, 진정 스프레이",촉촉한 베이스에 크림 타입 블러셔로 생기를 더하는 메이크업을 추천합니다.,강한 햇빛 대비 SPF 높은 제품을 사용하고 쿨링 미스트로 열감을 진정시켜 주세요.,건조한 바람 때문에 입술과 볼이 자주 텄어요. 수분 크림 없이는 힘들었을 것 같아요.
coolbreeze_log,아시아,아프가니스탄,건조기후,경수,★★★☆☆,여성,42,간호사,민감성,40°C (체감),29%,"고보습 선크림, 미스트, 영양 크림",메이크업은 최소화하고 톤업 선크림으로 자연스럽게 마무리하는 것을 권장합니다.,자외선 노출 후 진정 젤로 쿨다운하고 세럼으로 수분을 채워주는 것을 추천합니다.,햇빛이 강렬해서 선크림을 2~3시간마다 덧발라야 했어요.
subin_ing,아시아,아프가니스탄,건조기후,경수,★★★☆☆,남성,49,사진작가,민감성,28°C (체감),32%,"저자극 선크림, 진정 젤, 수분 세럼",가벼운 수분 쿠션으로 건조함을 커버하며 자연스러운 룩을 연출하세요.,낮은 습도로 인한 수분 손실을 막기 위해 고보습 크림을 겹겹이 발라주세요.,사막성 기후라 그런지 평소보다 피부가 훨씬 건조해지는 걸 느꼈어요.
toneuplife_life,아시아,아프가니스탄,건조기후,경수,★★★★★,여성,56,엔지니어,민감성,30°C (체감),15%,"수분 로션, 선크림, 핸드크림",고보습 베이스 제품으로 들뜸 없이 매끈한 피부 표현이 가능합니다.,입술과 손이 트기 쉬우므로 립밤과 핸드크림을 항상 휴대하는 것이 좋습니다.,낮은 습도 때문에 피부가 계속 당기고 화장이 들떴어요. 수분 로션이 필수였습니다.
eden_mode,아시아,아프가니스탄,건조기후,경수,★★★★★,남성,23,약사,민감성,32°C (체감),18%,"고SPF 선크림, 쿨링 미스트, 립밤",립 제품은 보습 밤 타입을 선택해 건조함으로 인한 각질을 예방하세요.,건조한 기후이므로 미스트를 수시로 뿌려 수분을 보충하는 것이 중요합니다.,일교차가 커서 낮에는 덥고 밤에는 쌀쌀해 피부가 예민해졌어요.
minjun_mode,아시아,아프가니스탄,건조기후,경수,★★★★★,여성,30,트레이너,민감성,34°C (체감),21%,"수분 크림, 선쿠션, 진정 스프레이",촉촉한 베이스에 크림 타입 블러셔로 생기를 더하는 메이크업을 추천합니다.,강한 햇빛 대비 SPF 높은 제품을 사용하고 쿨링 미스트로 열감을 진정시켜 주세요.,건조한 바람 때문에 입술과 볼이 자주 텄어요. 수분 크림 없이는 힘들었을 것 같아요.
mia_world,아시아,아프가니스탄,건조기후,경수,★★★★☆,남성,37,건축가,민감성,36°C (체감),24%,"고보습 선크림, 미스트, 영양 크림",메이크업은 최소화하고 톤업 선크림으로 자연스럽게 마무리하는 것을 권장합니다.,자외선 노출 후 진정 젤로 쿨다운하고 세럼으로 수분을 채워주는 것을 추천합니다.,햇빛이 강렬해서 선크림을 2~3시간마다 덧발라야 했어요.
haru_daily,아시아,아프가니스탄,건조기후,경수,★★☆☆☆,여성,44,일러스트레이터,민감성,38°C (체감),27%,"저자극 선크림, 진정 젤, 수분 세럼",가벼운 수분 쿠션으로 건조함을 커버하며 자연스러운 룩을 연출하세요.,낮은 습도로 인한 수분 손실을 막기 위해 고보습 크림을 겹겹이 발라주세요.,사막성 기후라 그런지 평소보다 피부가 훨씬 건조해지는 걸 느꼈어요.
